Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Tammy Abraham,ENG,FW,Milan,27-037,1997,1.2,0,0,0,2,4,0,1,1,0,0,0,0,4,4,3,57.1
Francesco Acerbi,ITA,DF,Inter,36-272,1988,1.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,50.0
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-163,1991,1.8,1,0,0,4,2,2,2,3,1,0,0,0,5,4,2,66.7
Karim Adeyemi,GER,FW,Dortmund,22-295,2002,1.5,0,0,0,0,4,0,2,3,2,1,0,0,6,2,2,50.0
Amine Adli,MAR,MF,Leverkusen,24-182,2000,1.3,0,0,0,4,1,2,1,0,2,0,0,0,3,4,1,80.0
Vasilije Adžić,MNE,FW,Juventus,18-180,2006,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0
Michel Aebischer,SUI,MF,Bologna,27-307,1997,0.3,1,0,0,4,0,0,0,0,0,0,0,0,3,0,0,
Emanuel Aiwum,AUT,DF,Sturm Graz,23-319,2000,4.0,1,0,0,8,6,0,2,6,3,0,0,0,10,7,5,58.3
Ludovic Ajorque,FRA,FW,Brest,30-257,1994,3.7,2,0,0,7,5,1,3,0,0,0,0,0,5,20,19,51.3
Manuel Akanji,SUI,DF,Manchester City,29-112,1995,3.7,0,0,0,5,2,0,0,2,2,0,0,0,23,4,2,66.7
Nathan Aké,NED,DF,Manchester City,29-264,1995,0.8,0,0,0,1,0,0,1,1,1,0,0,0,4,1,4,20.0
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-257,2002,4.0,0,0,0,6,8,2,18,3,2,0,0,0,20,1,3,25.0
Kerem Aktürkoğlu,TUR,FW,Benfica,26-018,1998,3.4,0,0,0,2,1,1,1,5,2,0,0,0,18,2,5,28.6
Trent Alexander-Arnold,ENG,DF,Liverpool,26-032,1998,3.5,0,0,0,1,1,0,10,3,4,0,0,0,16,0,0,
Alisson,BRA,GK,Liverpool,32-037,1992,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-282,2000,3.1,0,0,0,1,3,0,2,2,4,0,0,0,10,1,4,20.0
Mohamed Aly Camara,GUI,DF,Young Boys,27-072,1997,2.0,0,0,0,2,1,0,0,2,3,0,0,1,10,3,1,75.0
Jordan Amavi,FRA,DF,Brest,30-244,1994,0.9,0,0,0,1,4,0,2,0,1,0,0,0,1,1,0,100.0
Zeki Amdouni,SUI,FW,Benfica,23-340,2000,1.2,1,0,0,3,3,1,1,0,1,1,0,0,5,4,4,50.0
Benjamin André,FRA,MF,Lille,34-097,1990,4.0,2,0,0,9,7,1,0,5,5,1,1,0,23,12,12,50.0
Robert Andrich,GER,MF,Leverkusen,30-047,1994,1.4,0,0,0,4,0,0,0,5,3,0,0,0,9,0,0,
Waldemar Anton,GER,DF,Dortmund,28-111,1996,1.8,0,0,0,2,1,0,1,4,2,0,0,0,5,0,2,0.0
Maximiliano Araújo,URU,"DF,MF",Sporting CP,24-267,2000,1.9,1,0,0,3,1,0,6,2,3,0,0,0,10,0,1,0.0
Tomás Araújo,POR,DF,Benfica,22-176,2002,3.0,0,0,0,2,1,0,1,5,5,0,0,0,10,4,3,57.1
