Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Ahmed Abdullahi,NGA,MF,Gent,20-141,2004,0.0,4,0,1,3,0,0,4,0,0,,0,,2,14,5,0,0,0,1,0,2,0
Francis Abu,GHA,MF,Cercle Brugge,23-194,2001,7.9,513,15,56,309,152,9,513,6,3,50.0,2,33.3,284,1477,540,4,18,1,7,5,252,15
Desmond Acquah,BEL,"MF,DF",Dender,22-107,2002,1.9,87,2,15,43,32,6,87,7,2,28.6,4,57.1,61,321,121,1,1,1,7,7,52,12
Noah Adedeji,BEL,"FW,MF",Genk,19-141,2005,0.3,34,0,3,17,14,2,34,5,0,0.0,5,100.0,23,181,39,1,1,1,0,2,21,5
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-350,2003,8.2,396,15,59,192,152,7,396,21,10,47.6,7,33.3,187,1122,424,7,15,1,21,13,152,13
Takahiro Akimoto,JPN,DF,OH Leuven,26-281,1998,11.5,645,48,285,282,87,20,645,6,2,33.3,4,66.7,393,2201,1013,10,4,2,7,1,358,19
Ali Akman,TUR,"MF,DF",Dender,22-203,2002,0.4,27,0,4,16,7,3,27,5,4,80.0,1,20.0,12,61,12,0,0,0,1,0,10,3
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-123,2004,6.8,292,16,62,129,106,23,292,27,13,48.1,14,51.9,206,1525,628,17,17,7,15,16,186,44
Toby Alderweireld,BEL,DF,Antwerp,35-250,1989,13.0,826,106,407,401,25,16,826,0,0,,0,,600,2708,1241,1,1,1,4,2,568,3
Ryan Alebiosu,ENG,DF,Kortrijk,22-326,2001,4.3,173,11,42,60,73,10,173,15,4,26.7,11,73.3,119,872,388,13,4,5,4,4,109,27
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-347,2001,2.1,192,4,37,122,36,2,192,3,3,100.0,0,0.0,138,787,290,4,8,1,4,4,132,5
Arthur Alexis,BEL,MF,Sint-Truiden,18-302,2006,0.1,11,1,2,6,3,0,11,1,0,0.0,1,100.0,7,28,0,0,0,0,0,0,5,0
Thierry Ambrose,GLP,FW,Kortrijk,27-224,1997,9.5,341,12,31,154,161,42,341,47,15,31.9,31,66.0,220,1550,638,25,12,10,17,17,244,55
Francis Amuzu,BEL,FW,Anderlecht,25-076,1999,3.8,191,0,8,41,144,24,191,23,9,39.1,12,52.2,140,1056,465,19,11,13,2,1,140,43
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,27-048,1997,2.2,129,6,43,75,16,1,129,0,0,,0,,83,527,261,4,5,0,0,1,85,13
Stelios Andreou,CYP,DF,Charleroi,22-106,2002,12.0,771,87,382,375,18,5,771,5,2,40.0,3,60.0,483,2905,1327,6,5,0,8,3,446,2
Nilson Angulo,ECU,FW,Anderlecht,21-141,2003,2.6,124,2,10,22,95,22,124,26,8,30.8,16,61.5,80,688,323,15,7,9,8,5,81,33
Tiago Araújo,POR,"DF,FW",Gent,23-225,2001,1.3,90,6,29,39,26,4,90,6,1,16.7,5,83.3,53,403,158,6,3,1,1,3,51,10
Kristian Arnstad,NOR,DF,Anderlecht,21-061,2003,0.3,26,0,2,12,12,0,26,0,0,,0,,14,28,7,0,0,0,0,2,18,2
Tolu Arokodare,NGA,FW,Genk,23-350,2000,11.6,349,17,29,138,187,89,349,22,7,31.8,15,68.2,233,1273,407,10,7,9,30,12,268,76
Raymond Asante,GHA,FW,Charleroi,20-164,2004,0.2,10,0,1,6,3,0,10,2,1,50.0,1,50.0,8,46,11,0,1,0,1,1,8,3
Majeed Ashimeru,GHA,MF,Anderlecht,27-028,1997,3.7,263,7,36,138,95,15,263,9,5,55.6,4,44.4,201,1042,424,5,14,4,9,9,191,14
Ludwig Augustinsson,SWE,DF,Anderlecht,30-200,1994,3.9,299,16,81,139,81,8,299,4,2,50.0,2,50.0,191,1142,497,8,8,1,2,3,180,17
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,20-263,2004,5.2,164,4,13,58,94,25,164,12,5,41.7,6,50.0,107,684,202,10,6,6,12,9,117,53
Muhammed Badamosi,GAM,"FW,DF",Standard Liège,25-316,1998,0.7,35,1,4,22,9,1,35,2,1,50.0,1,50.0,21,161,46,1,1,0,9,5,26,6
Youssouph Badji,SEN,FW,Charleroi,22-323,2001,2.3,86,2,7,46,33,13,86,2,0,0.0,1,50.0,50,306,81,2,2,1,7,0,64,12
Bilal Bafdili,BEL,"MF,FW",Mechelen,20-096,2004,5.3,208,3,19,109,84,18,208,15,2,13.3,13,86.7,159,932,313,8,5,1,17,8,151,40
Michel-Ange Balikwisha,BEL,FW,Antwerp,23-181,2001,1.0,47,1,8,16,24,3,47,3,0,0.0,3,100.0,35,290,124,3,4,2,2,3,29,8
William Balikwisha,COD,"FW,MF",OH Leuven,25-179,1999,7.5,332,10,58,142,134,15,332,24,10,41.7,13,54.2,240,2023,788,25,11,8,18,10,228,44
Sacha Banse,BFA,MF,Standard Liège,23-236,2001,0.4,17,0,4,7,6,1,17,1,0,0.0,1,100.0,10,78,18,1,2,0,2,3,9,4
Ezechiel Banzuzi,NED,MF,OH Leuven,19-265,2005,10.8,507,35,135,271,113,30,507,16,12,75.0,4,25.0,337,2268,1121,22,14,5,14,13,320,21
Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,22-331,2001,1.2,48,1,8,24,18,5,48,2,1,50.0,1,50.0,23,173,37,0,1,0,4,1,23,9
Jelle Bataille,BEL,DF,Antwerp,25-171,1999,9.3,608,30,185,298,126,13,608,6,3,50.0,3,50.0,396,2009,927,18,17,3,8,5,362,34
David Bates,SCO,DF,Standard Liège,28-033,1996,8.6,488,85,301,181,8,4,488,0,0,,0,,285,1462,452,0,3,1,6,1,254,0
Emin Bayram,TUR,DF,Westerlo,21-219,2003,6.0,400,40,188,191,31,14,400,9,4,44.4,5,55.6,244,1504,756,6,7,0,9,1,226,3
Zineddine Belaid,ALG,DF,Sint-Truiden,25-232,1999,0.8,48,9,20,28,0,0,48,0,0,,0,,37,189,71,0,0,0,0,0,35,0
Rafik Belghali,ALG,"DF,MF",Mechelen,22-153,2002,4.7,269,12,78,112,85,11,269,11,7,63.6,4,36.4,174,963,396,7,6,5,4,3,156,30
Soufiane Benjdida,MAR,FW,Standard Liège,23-063,2001,6.1,200,5,19,97,85,16,198,11,4,36.4,7,63.6,132,692,153,3,4,1,21,18,135,32
Antoine Bernier,BEL,FW,Charleroi,27-058,1997,9.0,353,5,28,124,209,41,353,30,15,50.0,12,40.0,264,1891,746,29,18,9,19,13,258,98
