Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Tammy Abraham,ENG,FW,Milan,27-036,1997,1.2,11,19,57.9,169,31,9,13,69.2,1,1,100.0,1,3,33.3,0,0.0,0.1,0.0,0,0,0,0,2
Francesco Acerbi,ITA,DF,Inter,36-271,1988,1.3,48,52,92.3,863,216,14,16,87.5,30,32,93.8,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,2
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-162,1991,1.8,44,55,80.0,596,152,28,33,84.8,12,15,80.0,1,4,25.0,0,0.3,0.0,-0.3,2,5,0,0,5
Karim Adeyemi,GER,FW,Dortmund,22-294,2002,1.5,46,58,79.3,570,132,29,34,85.3,15,17,88.2,0,1,0.0,0,0.3,0.1,-0.3,3,2,1,0,3
Amine Adli,MAR,MF,Leverkusen,24-181,2000,1.3,42,49,85.7,579,132,27,30,90.0,14,16,87.5,1,2,50.0,0,0.0,0.1,0.0,2,1,2,0,6
Vasilije Adžić,MNE,FW,Juventus,18-179,2006,0.3,8,9,88.9,144,3,4,4,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Michel Aebischer,SUI,MF,Bologna,27-306,1997,0.3,10,12,83.3,163,49,6,8,75.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2
Emanuel Aiwum,AUT,DF,Sturm Graz,23-318,2000,4.0,125,149,83.9,2384,984,46,50,92.0,67,72,93.1,11,24,45.8,0,0.0,0.0,0.0,0,5,0,0,8
Ludovic Ajorque,FRA,FW,Brest,30-256,1994,3.7,60,82,73.2,967,178,33,43,76.7,16,25,64.0,8,8,100.0,2,1.8,1.6,+0.2,10,6,2,0,4
Manuel Akanji,SUI,DF,Manchester City,29-111,1995,3.7,316,337,93.8,5021,1640,163,171,95.3,140,146,95.9,10,16,62.5,1,0.1,0.3,+0.9,2,33,2,0,37
