Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Rodrigo Abascal,URU,DF,Boavista,30-299,1994,8,720,90,80.0,8.0,8,90,8,0,,0,1.13,7,9,-2,-0.25,+1.75,10.0,9.3,+0.7,+0.09,+1.90
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-292,2003,1,8,8,0.9,0.1,0,,0,1,8,1,0.00,0,0,0,0.00,+1.21,0.1,0.0,+0.1,+0.64,+1.44
Giorgi Aburjania,GEO,MF,AVS Futebol,29-311,1995,8,288,36,32.0,3.2,3,68,0,5,17,2,0.75,3,4,-1,-0.31,+1.01,3.8,4.0,-0.2,-0.07,+0.67
Adriano,BRA,MF,Santa Clara,25-004,1999,9,722,80,80.2,8.0,9,80,2,0,,0,1.67,11,12,-1,-0.12,-1.14,11.1,7.0,+4.1,+0.51,+0.02
Lucas Áfrico,BRA,DF,Farense,29-277,1995,8,705,88,78.3,7.8,8,88,7,0,,2,0.50,3,13,-10,-1.28,+0.11,5.5,15.3,-9.7,-1.24,0.00
Salvador Agra,POR,"MF,DF",Boavista,32-363,1991,10,899,90,99.9,10.0,10,90,9,0,,0,0.90,7,13,-6,-0.60,-0.60,10.4,13.2,-2.8,-0.28,+9.48
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-133,2003,8,211,26,23.4,2.3,3,56,0,5,9,1,1.13,1,7,-6,-2.56,-1.78,4.1,4.0,+0.1,+0.06,+0.90
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-308,2000,10,388,39,43.1,4.3,4,68,0,6,19,0,1.00,3,9,-6,-1.39,-1.74,4.6,9.5,-4.9,-1.14,-1.30
Babatunde Akinsola,NGA,"FW,MF",AVS Futebol,21-243,2003,7,246,35,27.3,2.7,3,52,0,4,23,1,1.00,5,8,-3,-1.10,-0.13,3.5,5.5,-1.9,-0.71,-0.26
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-018,1998,5,346,69,42.7,3.8,5,69,0,0,,0,2.50,13,3,+10,+2.60,+1.05,7.0,2.5,+4.6,+1.19,-0.44
Léo Alaba,BRA,DF,AVS Futebol,25-130,1999,4,334,84,37.1,3.7,4,84,3,0,,2,1.00,5,7,-2,-0.54,+0.73,3.8,4.8,-1.0,-0.27,+0.41
Alan,BRA,MF,Moreirense,24-245,2000,9,685,76,76.1,7.6,9,76,3,0,,0,1.56,6,8,-2,-0.26,-1.10,7.4,6.7,+0.7,+0.09,-0.60
Gonçalo Almeida,POR,"DF,MF",Boavista,21-186,2003,7,202,29,22.4,2.2,2,44,0,5,23,2,0.71,1,3,-2,-0.89,-0.38,1.6,2.7,-1.1,-0.49,-0.26
