Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Rodrigo Abascal,URU,DF,Boavista,30-299,1994,8.0,0,5,1,20.0,0.62,0.12,0.00,0.00,22.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21-292,2003,0.1,0,1,1,100.0,11.25,11.25,0.00,0.00,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Giorgi Aburjania,GEO,MF,AVS Futebol,29-311,1995,3.2,0,1,1,100.0,0.31,0.31,0.00,0.00,10.8,0,0,0,0.3,0.3,0.32,-0.3,-0.3
Adriano,BRA,MF,Santa Clara,25-004,1999,8.0,0,1,1,100.0,0.12,0.12,0.00,0.00,19.8,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Lucas Áfrico,BRA,DF,Farense,29-277,1995,7.8,0,7,1,14.3,0.89,0.13,0.00,0.00,13.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Salvador Agra,POR,"MF,DF",Boavista,32-363,1991,10.0,0,17,2,11.8,1.70,0.20,0.00,0.00,25.9,1,0,0,0.7,0.7,0.04,-0.7,-0.7
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21-133,2003,2.3,0,6,0,0.0,2.56,0.00,0.00,,24.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Jorge Aguirre,ESP,FW,Gil Vicente FC,24-308,2000,4.3,2,8,3,37.5,1.86,0.70,0.25,0.67,14.0,0,0,0,1.6,1.6,0.21,+0.4,+0.4
Babatunde Akinsola,NGA,"FW,MF",AVS Futebol,21-243,2003,2.7,1,7,2,28.6,2.56,0.73,0.14,0.50,19.8,0,0,0,1.2,1.2,0.18,-0.2,-0.2
Kerem Aktürkoğlu,TUR,"FW,MF",Benfica,26-018,1998,3.8,5,15,8,53.3,3.90,2.08,0.33,0.63,14.7,0,0,0,1.9,1.9,0.13,+3.1,+3.1
Léo Alaba,BRA,DF,AVS Futebol,25-130,1999,3.7,0,3,0,0.0,0.81,0.00,0.00,,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Alan,BRA,MF,Moreirense,24-245,2000,7.6,1,7,2,28.6,0.92,0.26,0.00,0.00,24.8,2,1,1,1.3,0.5,0.07,-0.3,-0.5
Gonçalo Almeida,POR,"DF,MF",Boavista,21-186,2003,2.2,0,2,1,50.0,0.89,0.45,0.00,0.00,16.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Pedro Álvaro,POR,DF,Estoril,24-251,2000,10.0,1,4,2,50.0,0.40,0.20,0.25,0.50,7.8,0,0,0,0.6,0.6,0.16,+0.4,+0.4
Pedro Amaral,POR,DF,Estoril,27-075,1997,9.1,0,3,1,33.3,0.33,0.11,0.00,0.00,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Zeki Amdouni,SUI,"MF,FW",Benfica,23-340,2000,1.2,2,10,3,30.0,8.18,2.45,0.20,0.67,18.1,1,0,0,1.7,1.7,0.17,+0.3,+0.3
