Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21-177,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
James Abankwah,IRL,DF,Udinese,Serie A,20-294,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-214,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-038,1987,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-354,1999,9.8,3,11,3,27.3,1.12,0.31,0.09,0.33,25.8,0,2,3,3.5,1.1,0.10,-0.5,-0.1
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-278,1999,4.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Abdi,TUN,DF,Nice,Ligue 1,30-321,1993,5.5,1,9,3,33.3,1.65,0.55,0.11,0.33,24.0,0,0,0,0.6,0.6,0.07,+0.4,+0.4
Abel,ESP,DF,Osasuna,La Liga,24-076,2000,8.1,2,4,3,75.0,0.49,0.37,0.50,0.67,27.1,0,0,0,0.2,0.2,0.06,+1.8,+1.8
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-074,2002,2.9,0,2,0,0.0,0.68,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Oliver Abildgaard,DEN,MF,Como,Serie A,28-148,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-222,2003,8.0,2,21,8,38.1,2.62,1.00,0.10,0.25,14.3,0,0,0,1.5,1.5,0.07,+0.5,+0.5
Abner,BRA,DF,Lyon,Ligue 1,24-162,2000,6.2,1,5,3,60.0,0.81,0.49,0.20,0.33,18.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-261,2000,8.2,4,29,14,48.3,3.54,1.71,0.14,0.29,13.6,0,0,1,5.7,4.9,0.17,-1.7,-0.9
Abdel Abqar,MAR,DF,Alavés,La Liga,25-240,1999,9.5,0,5,1,20.0,0.52,0.10,0.00,0.00,7.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Tammy Abraham,ENG,FW,Roma,Serie A,27-034,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tammy Abraham,ENG,FW,Milan,Serie A,27-034,1997,3.9,1,12,6,50.0,3.07,1.53,0.00,0.00,15.9,0,1,2,3.4,1.7,0.14,-2.4,-1.7
Federico Accornero,ITA,MF,Genoa,Serie A,20-274,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,36-269,1988,6.3,0,1,0,0.0,0.16,0.00,0.00,,11.7,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-281,2000,8.8,3,20,10,50.0,2.28,1.14,0.15,0.30,13.7,0,0,0,3.9,3.9,0.19,-0.9,-0.9
Che Adams,SCO,FW,Torino,Serie A,28-115,1996,7.5,3,15,8,53.3,2.01,1.07,0.20,0.38,18.2,0,0,0,2.3,2.3,0.15,+0.7,+0.7
Tyler Adams,USA,MF,Bournemouth,Premier League,25-265,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-152,2001,7.8,2,17,7,41.2,2.18,0.90,0.12,0.29,14.1,0,0,0,3.3,3.3,0.20,-1.3,-1.3
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-042,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Martin Adeline,FRA,MF,Reims,Ligue 1,20-339,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-292,2002,3.4,2,8,4,50.0,2.36,1.18,0.25,0.50,16.8,0,0,0,0.7,0.7,0.09,+1.3,+1.3
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-309,2002,1.6,1,5,1,20.0,3.19,0.64,0.20,1.00,14.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-179,2000,2.3,0,5,0,0.0,2.20,0.00,0.00,,13.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-099,2000,3.6,1,1,1,100.0,0.27,0.27,1.00,1.00,20.8,0,0,0,0.0,0.0,0.02,+1.0,+1.0
Adryelson,BRA,DF,Lyon,Ligue 1,26-227,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Vasilije Adžić,MNE,MF,Juventus,Serie A,18-177,2006,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Michel Aebischer,SUI,MF,Bologna,Serie A,27-304,1997,4.2,0,5,2,40.0,1.19,0.48,0.00,0.00,21.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-267,1998,5.9,2,18,7,38.9,3.05,1.19,0.11,0.29,17.6,0,0,0,1.4,1.4,0.08,+0.6,+0.6
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-141,1997,10.0,0,10,3,30.0,1.00,0.30,0.00,0.00,27.2,1,0,0,0.5,0.5,0.05,-0.5,-0.5
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19-038,2005,0.0,0,1,0,0.0,30.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-315,2000,8.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-270,2002,6.7,0,3,0,0.0,0.45,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-039,1999,7.9,2,3,3,100.0,0.38,0.38,0.67,0.67,12.9,0,0,0,0.7,0.7,0.22,+1.3,+1.3
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-188,1996,3.2,0,7,0,0.0,2.18,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-220,1996,7.7,0,10,4,40.0,1.30,0.52,0.00,0.00,10.0,0,0,0,1.9,1.9,0.19,-1.9,-1.9
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-193,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Honest Ahanor,ITA,DF,Genoa,Serie A,16-256,2008,0.9,0,1,0,0.0,1.06,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-230,1994,7.8,2,14,3,21.4,1.80,0.39,0.14,0.67,21.9,0,0,0,0.9,0.9,0.07,+1.1,+1.1
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-037,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-133,2005,1.0,0,2,0,0.0,2.07,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-028,1996,9.6,1,4,1,25.0,0.42,0.10,0.25,1.00,25.9,0,0,0,0.1,0.1,0.03,+0.9,+0.9
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23-152,2001,9.3,3,12,4,33.3,1.30,0.43,0.25,0.75,13.8,0,0,0,1.1,1.1,0.10,+1.9,+1.9
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-202,1998,7.1,0,1,1,100.0,0.14,0.14,0.00,0.00,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-254,1994,7.8,2,8,5,62.5,1.03,0.64,0.25,0.40,11.3,0,0,0,1.5,1.5,0.18,+0.5,+0.5
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-109,1995,8.7,0,5,1,20.0,0.58,0.12,0.00,0.00,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-030,2003,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,29-261,1995,0.8,0,1,0,0.0,1.20,0.00,0.00,,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20-203,2004,6.0,0,15,5,33.3,2.50,0.83,0.00,0.00,23.6,0,0,0,0.5,0.5,0.03,-0.5,-0.5
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-325,1997,6.9,1,6,2,33.3,0.87,0.29,0.17,0.50,19.6,0,0,0,0.2,0.2,0.03,+0.8,+0.8
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-254,2002,6.4,0,11,1,9.1,1.73,0.16,0.00,0.00,18.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-347,2001,7.0,0,2,0,0.0,0.28,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22-265,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-200,1995,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
