Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Tammy Abraham,ENG,FW,Milan,27-036,1997,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,36-271,1988,1.3,0,1,0,0.0,0.77,0.00,0.00,,9.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-162,1991,1.8,0,4,0,0.0,2.25,0.00,0.00,,11.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Karim Adeyemi,GER,FW,Dortmund,22-294,2002,1.5,3,7,5,71.4,4.74,3.38,0.43,0.60,19.1,0,0,0,0.4,0.4,0.05,+2.6,+2.6
Amine Adli,MAR,MF,Leverkusen,24-181,2000,1.3,0,2,2,100.0,1.53,1.53,0.00,0.00,16.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Vasilije Adžić,MNE,FW,Juventus,18-179,2006,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michel Aebischer,SUI,MF,Bologna,27-306,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Emanuel Aiwum,AUT,DF,Sturm Graz,23-318,2000,4.0,0,1,0,0.0,0.25,0.00,0.00,,15.5,0,0,0,0.0,0.0,0.01,0.0,0.0
Ludovic Ajorque,FRA,FW,Brest,30-256,1994,3.7,0,8,3,37.5,2.14,0.80,0.00,0.00,15.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Manuel Akanji,SUI,DF,Manchester City,29-111,1995,3.7,0,2,0,0.0,0.55,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Nathan Aké,NED,DF,Manchester City,29-263,1995,0.8,0,1,1,100.0,1.23,1.23,0.00,0.00,4.6,0,0,0,0.3,0.3,0.27,-0.3,-0.3
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-256,2002,4.0,2,10,4,40.0,2.50,1.00,0.20,0.50,17.4,0,0,0,0.8,0.8,0.08,+1.2,+1.2
Kerem Aktürkoğlu,TUR,FW,Benfica,26-017,1998,3.4,3,8,5,62.5,2.36,1.48,0.38,0.60,15.0,0,0,0,2.6,2.6,0.32,+0.4,+0.4
Trent Alexander-Arnold,ENG,DF,Liverpool,26-031,1998,3.5,0,6,0,0.0,1.71,0.00,0.00,,26.5,2,0,0,0.3,0.3,0.05,-0.3,-0.3
Alisson,BRA,GK,Liverpool,32-036,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-281,2000,3.1,1,4,2,50.0,1.30,0.65,0.25,0.50,10.1,0,0,0,0.6,0.6,0.15,+0.4,+0.4
Mohamed Aly Camara,GUI,DF,Young Boys,27-071,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordan Amavi,FRA,DF,Brest,30-243,1994,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
